frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
39.74,1.26,-5.45,1.26,-5.45,5.46,5.14,5.26,6.72,6.72,6.71
40.14,1.31,-5.37,1.31,-5.38,5.38,5.10,5.15,6.69,6.69,6.68
40.54,1.35,-5.31,1.35,-5.31,5.31,5.07,5.05,6.66,6.66,6.66
40.94,1.39,-5.25,1.39,-5.25,5.24,5.03,4.95,6.63,6.63,6.63
41.35,1.42,-5.19,1.42,-5.18,5.18,5.00,4.85,6.60,6.60,6.61
41.76,1.46,-5.11,1.46,-5.12,5.12,4.96,4.75,6.58,6.58,6.57
42.18,1.50,-5.05,1.50,-5.06,5.06,4.92,4.66,6.56,6.55,6.55
42.60,1.53,-5.00,1.53,-5.00,5.00,4.89,4.57,6.53,6.53,6.53
43.03,1.56,-4.94,1.56,-4.95,4.94,4.85,4.48,6.50,6.50,6.50
43.46,1.59,-4.88,1.59,-4.89,4.89,4.81,4.40,6.47,6.47,6.47
43.90,1.62,-4.84,1.62,-4.83,4.83,4.77,4.32,6.44,6.44,6.45
44.33,1.65,-4.77,1.65,-4.77,4.77,4.73,4.24,6.42,6.42,6.41
44.78,1.67,-4.71,1.67,-4.72,4.71,4.68,4.17,6.39,6.39,6.38
45.23,1.70,-4.67,1.70,-4.66,4.65,4.64,4.10,6.36,6.36,6.37
45.68,1.73,-4.59,1.73,-4.60,4.59,4.60,4.04,6.32,6.32,6.32
46.13,1.76,-4.52,1.76,-4.53,4.53,4.55,3.97,6.29,6.29,6.28
46.60,1.78,-4.47,1.78,-4.47,4.47,4.51,3.91,6.25,6.25,6.25
47.06,1.81,-4.40,1.81,-4.41,4.41,4.46,3.85,6.21,6.21,6.21
47.53,1.83,-4.35,1.83,-4.34,4.34,4.41,3.80,6.17,6.17,6.18
48.01,1.85,-4.27,1.85,-4.27,4.27,4.36,3.75,6.12,6.12,6.12
48.49,1.87,-4.20,1.87,-4.21,4.20,4.31,3.70,6.08,6.08,6.07
48.97,1.89,-4.14,1.89,-4.14,4.14,4.26,3.65,6.03,6.03,6.03
49.46,1.91,-4.08,1.91,-4.07,4.07,4.21,3.61,5.98,5.98,5.99
49.96,1.93,-3.99,1.93,-4.00,4.00,4.16,3.56,5.93,5.93,5.92
50.46,1.95,-3.93,1.95,-3.93,3.93,4.11,3.53,5.89,5.89,5.88
50.96,1.97,-3.87,1.97,-3.86,3.87,4.05,3.49,5.84,5.84,5.84
51.47,1.99,-3.81,1.99,-3.80,3.81,4.00,3.45,5.80,5.80,5.80
51.99,2.01,-3.74,2.01,-3.74,3.74,3.94,3.42,5.75,5.75,5.75
52.51,2.03,-3.68,2.03,-3.68,3.68,3.88,3.38,5.71,5.71,5.71
53.03,2.05,-3.63,2.05,-3.62,3.61,3.82,3.35,5.67,5.67,5.68
53.56,2.07,-3.55,2.07,-3.55,3.55,3.76,3.32,5.62,5.62,5.62
54.10,2.09,-3.48,2.09,-3.49,3.48,3.70,3.29,5.57,5.57,5.57
54.64,2.11,-3.42,2.11,-3.41,3.41,3.64,3.26,5.53,5.53,5.53
55.18,2.13,-3.34,2.13,-3.34,3.35,3.58,3.23,5.48,5.48,5.47
55.74,2.15,-3.27,2.15,-3.28,3.28,3.51,3.20,5.43,5.43,5.42
56.29,2.17,-3.22,2.17,-3.21,3.22,3.45,3.16,5.39,5.39,5.39
56.86,2.19,-3.16,2.19,-3.15,3.16,3.38,3.13,5.35,5.35,5.35
57.42,2.21,-3.08,2.21,-3.09,3.10,3.31,3.10,5.31,5.31,5.29
58.00,2.23,-3.04,2.23,-3.04,3.04,3.24,3.06,5.27,5.27,5.26
58.58,2.24,-2.99,2.24,-2.98,2.98,3.17,3.03,5.23,5.23,5.23
59.16,2.26,-2.93,2.26,-2.93,2.92,3.10,2.99,5.18,5.18,5.19
59.76,2.28,-2.87,2.28,-2.87,2.85,3.03,2.95,5.13,5.13,5.15
60.35,2.30,-2.78,2.30,-2.79,2.78,2.96,2.91,5.08,5.08,5.08
60.96,2.31,-2.72,2.31,-2.71,2.71,2.88,2.87,5.02,5.02,5.03
61.57,2.33,-2.63,2.33,-2.63,2.63,2.81,2.82,4.96,4.96,4.96
62.18,2.35,-2.54,2.35,-2.55,2.55,2.73,2.77,4.90,4.90,4.89
62.80,2.37,-2.46,2.37,-2.46,2.47,2.65,2.72,4.84,4.84,4.83
63.43,2.39,-2.39,2.39,-2.39,2.39,2.58,2.66,4.78,4.78,4.77
64.07,2.41,-2.31,2.41,-2.31,2.31,2.50,2.61,4.72,4.72,4.72
64.71,2.43,-2.23,2.43,-2.23,2.23,2.42,2.55,4.66,4.66,4.66
65.35,2.45,-2.15,2.45,-2.15,2.15,2.33,2.48,4.60,4.60,4.60
66.01,2.47,-2.07,2.47,-2.07,2.07,2.25,2.42,4.55,4.55,4.54
66.67,2.49,-2.01,2.49,-2.00,1.99,2.17,2.35,4.49,4.49,4.50
67.33,2.51,-1.91,2.51,-1.92,1.92,2.08,2.28,4.43,4.43,4.42
68.01,2.53,-1.84,2.53,-1.84,1.84,2.00,2.21,4.37,4.37,4.37
68.69,2.55,-1.75,2.55,-1.75,1.75,1.91,2.13,4.31,4.31,4.30
69.37,2.57,-1.68,2.57,-1.67,1.67,1.83,2.05,4.24,4.25,4.25
70.07,2.59,-1.59,2.59,-1.59,1.59,1.74,1.97,4.18,4.18,4.18
70.77,2.61,-1.51,2.61,-1.51,1.51,1.65,1.89,4.12,4.12,4.12
71.48,2.63,-1.42,2.63,-1.42,1.42,1.56,1.81,4.05,4.05,4.05
72.19,2.65,-1.34,2.65,-1.34,1.34,1.47,1.73,3.98,3.98,3.98
72.91,2.66,-1.26,2.66,-1.26,1.26,1.38,1.64,3.92,3.92,3.92
73.64,2.68,-1.17,2.68,-1.17,1.17,1.29,1.56,3.85,3.85,3.85
74.38,2.70,-1.09,2.70,-1.09,1.09,1.20,1.47,3.79,3.79,3.79
75.12,2.72,-1.00,2.72,-1.01,1.01,1.11,1.38,3.73,3.73,3.72
75.87,2.73,-0.95,2.73,-0.94,0.94,1.02,1.29,3.67,3.67,3.68
76.63,2.75,-0.86,2.75,-0.86,0.86,0.93,1.20,3.62,3.62,3.61
77.40,2.77,-0.79,2.77,-0.79,0.79,0.84,1.11,3.56,3.56,3.56
78.17,2.79,-0.72,2.79,-0.72,0.72,0.75,1.02,3.51,3.51,3.50
78.95,2.80,-0.66,2.80,-0.65,0.65,0.66,0.93,3.45,3.45,3.46
79.74,2.82,-0.58,2.82,-0.58,0.58,0.56,0.84,3.40,3.40,3.40
80.54,2.83,-0.51,2.83,-0.51,0.51,0.47,0.75,3.35,3.35,3.34
81.35,2.85,-0.44,2.85,-0.44,0.44,0.38,0.66,3.29,3.29,3.29
82.16,2.86,-0.38,2.86,-0.37,0.37,0.29,0.57,3.23,3.23,3.24
82.98,2.88,-0.30,2.88,-0.30,0.30,0.20,0.48,3.18,3.18,3.18
83.81,2.90,-0.23,2.90,-0.23,0.22,0.11,0.38,3.12,3.12,3.12
84.65,2.91,-0.15,2.91,-0.15,0.15,0.02,0.29,3.06,3.06,3.06
85.50,2.93,-0.06,2.93,-0.07,0.07,-0.06,0.20,3.00,3.00,2.99
86.35,2.94,0.01,2.94,0.01,-0.00,-0.15,0.11,2.94,2.94,2.93
87.22,2.95,0.07,2.95,0.08,-0.08,-0.24,0.01,2.87,2.88,2.88
88.09,2.96,0.15,2.96,0.15,-0.15,-0.32,-0.08,2.81,2.81,2.81
88.97,2.98,0.21,2.98,0.22,-0.22,-0.41,-0.17,2.75,2.75,2.76
89.86,2.99,0.31,2.99,0.30,-0.30,-0.49,-0.26,2.69,2.69,2.68
90.76,2.99,0.37,2.99,0.37,-0.37,-0.57,-0.36,2.63,2.63,2.62
91.66,3.00,0.44,3.00,0.44,-0.44,-0.65,-0.45,2.56,2.56,2.55
92.58,3.00,0.51,3.00,0.51,-0.51,-0.73,-0.54,2.49,2.49,2.49
93.51,3.00,0.58,3.00,0.58,-0.58,-0.81,-0.64,2.42,2.42,2.42
94.44,3.00,0.65,3.00,0.65,-0.66,-0.88,-0.73,2.34,2.34,2.35
95.39,3.00,0.73,3.00,0.73,-0.73,-0.96,-0.83,2.27,2.27,2.27
96.34,3.00,0.81,3.00,0.80,-0.81,-1.03,-0.92,2.19,2.19,2.19
97.30,2.99,0.88,2.99,0.89,-0.89,-1.10,-1.01,2.11,2.11,2.11
98.28,2.99,0.97,2.99,0.97,-0.96,-1.17,-1.11,2.02,2.02,2.02
99.26,2.98,1.05,2.98,1.05,-1.04,-1.24,-1.20,1.94,1.94,1.93
100.25,2.98,1.13,2.98,1.12,-1.12,-1.30,-1.29,1.86,1.86,1.85
101.25,2.97,1.19,2.97,1.20,-1.19,-1.37,-1.39,1.78,1.78,1.78
102.27,2.96,1.27,2.96,1.26,-1.27,-1.43,-1.48,1.69,1.69,1.69
103.29,2.95,1.34,2.95,1.33,-1.34,-1.49,-1.57,1.61,1.61,1.61
104.32,2.94,1.40,2.94,1.40,-1.40,-1.55,-1.66,1.53,1.53,1.54
105.37,2.93,1.47,2.93,1.47,-1.47,-1.60,-1.75,1.46,1.45,1.46
106.42,2.91,1.54,2.91,1.54,-1.54,-1.66,-1.83,1.37,1.37,1.37
107.48,2.89,1.61,2.89,1.60,-1.60,-1.71,-1.92,1.29,1.29,1.28
108.56,2.87,1.65,2.87,1.66,-1.66,-1.76,-2.00,1.21,1.21,1.22
109.64,2.86,1.73,2.86,1.72,-1.72,-1.81,-2.09,1.14,1.14,1.13
110.74,2.84,1.79,2.84,1.78,-1.78,-1.85,-2.16,1.06,1.06,1.05
111.85,2.81,1.83,2.81,1.83,-1.83,-1.90,-2.24,0.98,0.98,0.98
112.97,2.79,1.88,2.79,1.88,-1.88,-1.94,-2.31,0.91,0.91,0.91
114.10,2.77,1.92,2.77,1.93,-1.94,-1.98,-2.38,0.83,0.83,0.84
115.24,2.74,1.98,2.74,1.98,-1.98,-2.01,-2.45,0.76,0.76,0.76
116.39,2.72,2.04,2.72,2.03,-2.03,-2.05,-2.51,0.69,0.69,0.68
117.55,2.69,2.07,2.69,2.08,-2.07,-2.08,-2.56,0.62,0.62,0.62
118.73,2.66,2.12,2.66,2.12,-2.11,-2.12,-2.62,0.55,0.55,0.54
119.92,2.64,2.15,2.64,2.15,-2.15,-2.15,-2.66,0.49,0.49,0.48
121.12,2.61,2.18,2.61,2.19,-2.18,-2.18,-2.71,0.43,0.43,0.43
122.33,2.58,2.22,2.58,2.21,-2.21,-2.20,-2.74,0.37,0.37,0.36
123.55,2.55,2.24,2.55,2.24,-2.24,-2.23,-2.78,0.30,0.30,0.31
124.79,2.51,2.26,2.51,2.27,-2.27,-2.25,-2.80,0.24,0.24,0.25
126.03,2.48,2.30,2.48,2.29,-2.30,-2.28,-2.83,0.18,0.18,0.18
127.29,2.45,2.33,2.45,2.33,-2.33,-2.30,-2.84,0.12,0.12,0.12
128.57,2.41,2.35,2.41,2.36,-2.36,-2.31,-2.85,0.06,0.06,0.06
129.85,2.38,2.39,2.38,2.38,-2.38,-2.33,-2.86,-0.00,-0.00,-0.01
131.15,2.34,2.41,2.34,2.41,-2.41,-2.35,-2.86,-0.07,-0.07,-0.07
132.46,2.30,2.43,2.30,2.43,-2.43,-2.36,-2.86,-0.13,-0.13,-0.13
133.79,2.26,2.45,2.26,2.45,-2.45,-2.38,-2.85,-0.18,-0.18,-0.19
135.12,2.23,2.48,2.23,2.47,-2.47,-2.39,-2.84,-0.24,-0.24,-0.25
136.48,2.18,2.47,2.18,2.48,-2.48,-2.40,-2.82,-0.30,-0.30,-0.29
137.84,2.14,2.49,2.14,2.49,-2.50,-2.41,-2.80,-0.36,-0.36,-0.35
139.22,2.09,2.52,2.09,2.50,-2.51,-2.42,-2.78,-0.42,-0.42,-0.43
140.61,2.05,2.52,2.05,2.52,-2.52,-2.42,-2.75,-0.47,-0.47,-0.47
142.02,2.00,2.53,2.00,2.54,-2.53,-2.43,-2.73,-0.53,-0.53,-0.53
143.44,1.96,2.55,1.95,2.54,-2.54,-2.44,-2.70,-0.59,-0.59,-0.60
144.87,1.91,2.56,1.91,2.56,-2.55,-2.44,-2.67,-0.65,-0.65,-0.65
146.32,1.86,2.56,1.86,2.56,-2.56,-2.44,-2.63,-0.70,-0.70,-0.70
147.78,1.81,2.57,1.81,2.57,-2.57,-2.45,-2.60,-0.76,-0.76,-0.76
149.26,1.77,2.58,1.77,2.58,-2.58,-2.45,-2.57,-0.82,-0.82,-0.81
150.75,1.72,2.60,1.72,2.59,-2.59,-2.45,-2.53,-0.87,-0.87,-0.88
152.26,1.68,2.59,1.68,2.60,-2.60,-2.45,-2.50,-0.92,-0.92,-0.92
153.78,1.63,2.61,1.63,2.61,-2.61,-2.45,-2.46,-0.98,-0.98,-0.98
155.32,1.58,2.61,1.59,2.62,-2.62,-2.44,-2.43,-1.03,-1.03,-1.03
156.88,1.54,2.63,1.54,2.63,-2.62,-2.44,-2.39,-1.08,-1.09,-1.09
158.44,1.49,2.63,1.48,2.63,-2.63,-2.44,-2.36,-1.14,-1.15,-1.15
160.03,1.43,2.64,1.43,2.64,-2.63,-2.43,-2.32,-1.21,-1.21,-1.21
161.63,1.37,2.64,1.37,2.64,-2.64,-2.43,-2.29,-1.27,-1.27,-1.27
163.24,1.31,2.65,1.31,2.64,-2.64,-2.43,-2.26,-1.33,-1.33,-1.34
164.88,1.25,2.64,1.25,2.64,-2.65,-2.42,-2.23,-1.40,-1.40,-1.39
166.53,1.19,2.65,1.19,2.65,-2.65,-2.41,-2.20,-1.46,-1.46,-1.46
168.19,1.14,2.64,1.14,2.65,-2.65,-2.41,-2.18,-1.52,-1.52,-1.51
169.87,1.08,2.65,1.08,2.65,-2.65,-2.40,-2.15,-1.58,-1.58,-1.57
171.57,1.02,2.66,1.02,2.66,-2.66,-2.39,-2.13,-1.63,-1.63,-1.64
173.29,0.97,2.66,0.96,2.66,-2.66,-2.38,-2.10,-1.69,-1.69,-1.70
175.02,0.91,2.65,0.91,2.66,-2.66,-2.38,-2.08,-1.75,-1.75,-1.75
176.77,0.85,2.65,0.85,2.65,-2.65,-2.37,-2.07,-1.81,-1.80,-1.80
178.54,0.79,2.65,0.79,2.65,-2.64,-2.36,-2.05,-1.86,-1.86,-1.86
180.32,0.73,2.65,0.73,2.64,-2.63,-2.35,-2.03,-1.90,-1.91,-1.92
182.13,0.66,2.62,0.66,2.62,-2.61,-2.34,-2.02,-1.96,-1.96,-1.96
183.95,0.59,2.60,0.59,2.60,-2.59,-2.33,-2.01,-2.01,-2.01,-2.01
185.79,0.51,2.57,0.51,2.57,-2.57,-2.32,-2.00,-2.06,-2.06,-2.06
187.65,0.44,2.54,0.44,2.54,-2.55,-2.31,-1.99,-2.10,-2.10,-2.10
189.52,0.37,2.52,0.37,2.51,-2.52,-2.30,-1.98,-2.15,-2.15,-2.15
191.42,0.30,2.48,0.30,2.49,-2.49,-2.28,-1.97,-2.19,-2.19,-2.18
193.33,0.23,2.46,0.23,2.46,-2.47,-2.27,-1.97,-2.23,-2.23,-2.23
195.27,0.16,2.44,0.16,2.44,-2.44,-2.26,-1.97,-2.28,-2.27,-2.28
197.22,0.09,2.42,0.09,2.41,-2.41,-2.25,-1.96,-2.31,-2.32,-2.33
199.19,0.02,2.38,0.02,2.38,-2.37,-2.24,-1.96,-2.36,-2.36,-2.36
201.18,-0.06,2.35,-0.06,2.35,-2.34,-2.23,-1.96,-2.40,-2.40,-2.41
203.19,-0.14,2.30,-0.14,2.30,-2.31,-2.22,-1.97,-2.44,-2.44,-2.44
205.23,-0.21,2.27,-0.21,2.26,-2.27,-2.20,-1.97,-2.48,-2.48,-2.48
207.28,-0.29,2.22,-0.29,2.23,-2.23,-2.19,-1.97,-2.52,-2.52,-2.51
209.35,-0.36,2.19,-0.36,2.19,-2.20,-2.18,-1.98,-2.56,-2.56,-2.55
211.44,-0.43,2.17,-0.43,2.16,-2.16,-2.17,-1.98,-2.59,-2.59,-2.60
213.56,-0.51,2.12,-0.51,2.12,-2.12,-2.15,-1.99,-2.63,-2.63,-2.63
215.69,-0.58,2.09,-0.58,2.09,-2.08,-2.14,-1.99,-2.66,-2.66,-2.67
217.85,-0.66,2.04,-0.66,2.05,-2.04,-2.13,-2.00,-2.70,-2.70,-2.70
220.03,-0.73,2.02,-0.73,2.01,-2.01,-2.12,-2.01,-2.74,-2.74,-2.75
222.23,-0.80,1.96,-0.81,1.97,-1.97,-2.10,-2.01,-2.78,-2.78,-2.77
224.45,-0.88,1.92,-0.87,1.93,-1.94,-2.09,-2.02,-2.81,-2.81,-2.80
226.70,-0.93,1.90,-0.93,1.89,-1.90,-2.08,-2.02,-2.83,-2.83,-2.83
228.96,-0.98,1.87,-0.98,1.87,-1.87,-2.07,-2.03,-2.84,-2.85,-2.85
231.25,-1.03,1.83,-1.03,1.84,-1.84,-2.05,-2.03,-2.86,-2.86,-2.86
233.57,-1.07,1.81,-1.08,1.81,-1.81,-2.04,-2.03,-2.88,-2.88,-2.89
235.90,-1.12,1.77,-1.12,1.78,-1.78,-2.03,-2.03,-2.90,-2.90,-2.90
238.26,-1.16,1.76,-1.16,1.75,-1.75,-2.02,-2.04,-2.91,-2.91,-2.92
240.64,-1.20,1.71,-1.20,1.71,-1.72,-2.00,-2.04,-2.91,-2.92,-2.91
243.05,-1.24,1.68,-1.24,1.69,-1.69,-1.99,-2.03,-2.92,-2.92,-2.92
245.48,-1.27,1.66,-1.28,1.66,-1.66,-1.98,-2.03,-2.93,-2.93,-2.94
247.93,-1.31,1.64,-1.31,1.63,-1.63,-1.97,-2.03,-2.95,-2.94,-2.95
250.41,-1.34,1.60,-1.34,1.61,-1.61,-1.96,-2.02,-2.95,-2.95,-2.94
252.92,-1.36,1.58,-1.36,1.59,-1.59,-1.94,-2.01,-2.95,-2.95,-2.94
255.45,-1.38,1.58,-1.38,1.57,-1.58,-1.93,-2.00,-2.96,-2.96,-2.96
258.00,-1.40,1.57,-1.40,1.57,-1.56,-1.92,-1.99,-2.97,-2.97,-2.97
260.58,-1.42,1.56,-1.42,1.56,-1.55,-1.91,-1.98,-2.98,-2.98,-2.98
263.19,-1.44,1.55,-1.44,1.55,-1.55,-1.90,-1.97,-2.99,-2.99,-2.99
265.82,-1.46,1.55,-1.46,1.54,-1.54,-1.88,-1.95,-3.00,-3.00,-3.01
268.48,-1.48,1.53,-1.48,1.54,-1.54,-1.87,-1.94,-3.02,-3.02,-3.01
271.16,-1.49,1.53,-1.49,1.53,-1.54,-1.86,-1.92,-3.03,-3.03,-3.03
273.87,-1.51,1.53,-1.51,1.53,-1.54,-1.85,-1.90,-3.05,-3.05,-3.04
276.61,-1.52,1.53,-1.52,1.54,-1.54,-1.84,-1.88,-3.06,-3.06,-3.06
279.38,-1.53,1.55,-1.53,1.54,-1.54,-1.83,-1.87,-3.07,-3.07,-3.09
282.17,-1.54,1.54,-1.54,1.54,-1.54,-1.82,-1.85,-3.08,-3.08,-3.09
284.99,-1.55,1.54,-1.55,1.54,-1.54,-1.81,-1.83,-3.09,-3.09,-3.09
287.84,-1.56,1.53,-1.56,1.53,-1.54,-1.80,-1.80,-3.10,-3.10,-3.09
290.72,-1.57,1.54,-1.57,1.53,-1.53,-1.78,-1.78,-3.10,-3.10,-3.11
293.63,-1.57,1.53,-1.57,1.53,-1.53,-1.77,-1.76,-3.10,-3.10,-3.10
296.57,-1.57,1.53,-1.57,1.53,-1.53,-1.76,-1.74,-3.10,-3.10,-3.10
299.53,-1.57,1.53,-1.57,1.53,-1.53,-1.75,-1.72,-3.10,-3.10,-3.11
302.53,-1.58,1.52,-1.58,1.53,-1.53,-1.74,-1.70,-3.10,-3.10,-3.10
305.55,-1.58,1.53,-1.58,1.53,-1.53,-1.73,-1.68,-3.11,-3.11,-3.11
308.61,-1.58,1.52,-1.58,1.53,-1.53,-1.72,-1.66,-3.11,-3.11,-3.10
311.69,-1.58,1.54,-1.58,1.53,-1.53,-1.71,-1.64,-3.11,-3.11,-3.12
314.81,-1.58,1.53,-1.58,1.54,-1.54,-1.70,-1.63,-3.11,-3.12,-3.11
317.96,-1.58,1.55,-1.58,1.55,-1.54,-1.69,-1.61,-3.12,-3.12,-3.13
321.14,-1.58,1.54,-1.57,1.55,-1.55,-1.68,-1.59,-3.12,-3.12,-3.12
324.35,-1.57,1.56,-1.57,1.55,-1.56,-1.67,-1.58,-3.13,-3.13,-3.13
327.59,-1.56,1.56,-1.56,1.56,-1.56,-1.66,-1.56,-3.13,-3.13,-3.12
330.87,-1.56,1.57,-1.56,1.57,-1.57,-1.65,-1.55,-3.13,-3.13,-3.13
334.18,-1.55,1.59,-1.55,1.58,-1.58,-1.64,-1.54,-3.13,-3.13,-3.14
337.52,-1.55,1.58,-1.55,1.59,-1.58,-1.64,-1.53,-3.13,-3.13,-3.13
340.90,-1.54,1.60,-1.54,1.59,-1.59,-1.63,-1.52,-3.13,-3.13,-3.14
344.30,-1.54,1.59,-1.54,1.59,-1.59,-1.62,-1.51,-3.13,-3.13,-3.13
